device_ms,toe_L,heel_L,toe_R,heel_R
238511,581.0,481.0,,
238536,582.0,537.0,,
238546,515.0,520.0,,
238556,584.0,510.0,,
238566,399.0,416.0,,
238576,406.0,451.0,,
238586,478.0,532.0,,
238596,437.0,478.0,,
238606,402.0,446.0,,
238616,414.0,460.0,,
238626,482.0,519.0,,
238636,527.0,597.0,,
238646,577.0,511.0,,
238656,565.0,551.0,,
238666,480.0,353.0,,
238676,554.0,478.0,,
238686,425.0,319.0,,
238696,441.0,531.0,,
238706,400.0,373.0,,
238716,320.0,304.0,,
238726,356.0,380.0,,
238736,333.0,339.0,,
238746,393.0,371.0,,
238756,405.0,408.0,,
238766,323.0,334.0,,
238776,317.0,321.0,,
238786,407.0,368.0,,
238796,351.0,324.0,,
238806,305.0,327.0,,
238816,271.0,327.0,,
238826,289.0,309.0,,
238836,240.0,318.0,,
238846,273.0,315.0,,
238856,195.0,317.0,,
238866,199.0,336.0,,
238876,210.0,323.0,,
238886,194.0,271.0,,
238896,120.0,210.0,,
238906,134.0,97.0,,
238916,95.0,155.0,,
238926,71.0,131.0,,
238936,63.0,92.0,,
238946,36.0,52.0,,
238956,57.0,30.0,,
238966,26.0,30.0,,
238976,12.0,23.0,,
238986,10.0,15.0,,
239224,28.0,11.0,,
239234,23.0,12.0,,
239244,41.0,15.0,,
239254,35.0,15.0,,
239264,28.0,15.0,,
239274,31.0,14.0,,
239284,38.0,15.0,,
239294,40.0,15.0,,
239304,50.0,16.0,,
239314,60.0,18.0,,
239324,53.0,18.0,,
239334,46.0,15.0,,
239344,51.0,18.0,,
239354,55.0,18.0,,
239364,52.0,19.0,,
239374,47.0,20.0,,
239384,31.0,14.0,,
239394,20.0,14.0,,
239404,23.0,12.0,,
239414,31.0,17.0,,
239424,31.0,18.0,,
239434,41.0,23.0,,
239444,35.0,22.0,,
239454,33.0,20.0,,
239464,53.0,29.0,,
239474,52.0,28.0,,
239484,50.0,33.0,,
239494,60.0,31.0,,
239504,59.0,33.0,,
239514,59.0,33.0,,
239524,61.0,36.0,,
239534,62.0,37.0,,
239544,31.0,29.0,,
239554,85.0,26.0,,
239564,129.0,38.0,,
239574,65.0,20.0,,
239584,173.0,25.0,,
239594,210.0,47.0,,
239604,480.0,51.0,,
239614,488.0,520.0,,
239624,526.0,537.0,,
239634,540.0,594.0,,
239644,553.0,588.0,,
239654,585.0,381.0,,
239664,526.0,578.0,,
239674,467.0,354.0,,
239914,300.0,347.0,,
239924,310.0,359.0,,
239950,238.0,314.0,,
240009,108.0,66.0,,
240070,81.0,45.0,,
240129,29.0,29.0,,
240189,28.0,38.0,,
240250,17.0,23.0,,
240309,39.0,24.0,,
240370,101.0,27.0,,
240429,33.0,14.0,,
240519,76.0,29.0,,
240580,40.0,34.0,,
240639,59.0,66.0,,
240700,34.0,32.0,,
240759,164.0,33.0,,
240820,527.0,282.0,,
240879,415.0,472.0,,
240939,458.0,528.0,,
241000,456.0,534.0,,
241059,435.0,382.0,,
241120,276.0,212.0,,
241179,207.0,357.0,,
241240,108.0,91.0,,
241299,28.0,18.0,,
241360,17.0,13.0,,
241419,19.0,15.0,,
241479,46.0,19.0,,
241570,67.0,22.0,,
241629,59.0,19.0,,
241690,101.0,23.0,,
241780,45.0,25.0,,
241839,54.0,27.0,,
241900,38.0,34.0,,
241959,75.0,19.0,,
242019,436.0,459.0,,
242080,477.0,245.0,,
242139,515.0,564.0,,
242200,413.0,478.0,,
242290,346.0,366.0,,
242349,331.0,341.0,,
242410,302.0,243.0,,
242500,122.0,84.0,,
242559,17.0,15.0,,
242650,23.0,14.0,,
242740,92.0,32.0,,
243454,537.0,522.0,,
243464,536.0,526.0,,
243490,518.0,595.0,,
243549,412.0,474.0,,
243610,438.0,366.0,,
243669,409.0,397.0,,
243730,403.0,411.0,,
243790,338.0,423.0,,
243849,216.0,128.0,,
243910,80.0,24.0,,
243969,34.0,32.0,,
244030,23.0,21.0,,
244089,31.0,16.0,,
244150,17.0,10.0,,
244209,40.0,18.0,,
244270,116.0,27.0,,
244330,103.0,29.0,,
244389,42.0,22.0,,
244450,38.0,23.0,,
244509,28.0,14.0,,
244570,51.0,24.0,,
244629,67.0,103.0,,
244690,553.0,479.0,,
244750,544.0,623.0,,
244810,559.0,639.0,,
244870,565.0,630.0,,
244959,534.0,577.0,,
245020,389.0,471.0,,
245080,385.0,392.0,,
245139,482.0,552.0,,
245200,345.0,506.0,,
245259,190.0,209.0,,
245320,33.0,14.0,,
245379,49.0,36.0,,
245440,25.0,14.0,,
245500,13.0,9.0,,
245560,75.0,25.0,,
245620,79.0,20.0,,
245679,52.0,40.0,,
245740,70.0,27.0,,
245799,37.0,20.0,,
245860,43.0,22.0,,
245919,65.0,18.0,,
245980,541.0,576.0,,
246040,501.0,546.0,,
246100,545.0,605.0,,
246634,33.0,25.0,,
246644,30.0,24.0,,
246669,51.0,34.0,,
246730,57.0,31.0,,
246790,8.0,12.0,,
246850,74.0,37.0,,
246910,86.0,60.0,,
246969,113.0,55.0,,
247030,34.0,45.0,,
247089,60.0,50.0,,
247150,87.0,53.0,,
247209,44.0,15.0,,
247270,508.0,225.0,,
247330,393.0,291.0,,
247390,441.0,274.0,,
247450,440.0,368.0,,
247509,476.0,465.0,,
247570,413.0,324.0,,
247629,357.0,303.0,,
247690,216.0,123.0,,
247750,77.0,37.0,,
247810,81.0,40.0,,
247870,49.0,36.0,,
247930,30.0,37.0,,
247990,60.0,35.0,,
248049,11.0,11.0,,
248110,15.0,9.0,,
248169,26.0,14.0,,
248230,28.0,10.0,,
248290,29.0,18.0,,
248350,76.0,33.0,,
248410,81.0,32.0,,
248500,298.0,48.0,,
248560,453.0,496.0,,
248620,350.0,378.0,,
248680,384.0,415.0,,
248740,290.0,318.0,,
248799,371.0,425.0,,
248860,315.0,389.0,,
248919,367.0,283.0,,
248980,76.0,68.0,,
249040,29.0,28.0,,
249100,27.0,31.0,,
249160,25.0,27.0,,
249250,78.0,50.0,,
249310,11.0,18.0,,
249814,575.0,586.0,,
249824,570.0,599.0,,
249850,587.0,535.0,,
249910,575.0,654.0,,
250000,583.0,619.0,,
250060,477.0,507.0,,
250120,426.0,448.0,,
250180,399.0,434.0,,
250240,319.0,196.0,,
250300,196.0,116.0,,
250360,24.0,26.0,,
250419,53.0,41.0,,
250479,33.0,38.0,,
250540,25.0,23.0,,
250600,13.0,21.0,,
250660,17.0,17.0,,
250720,26.0,17.0,,
250780,25.0,30.0,,
250839,107.0,78.0,,
250900,66.0,50.0,,
250990,106.0,71.0,,
251050,557.0,560.0,,
251110,525.0,538.0,,
251169,458.0,519.0,,
251260,508.0,567.0,,
251320,408.0,443.0,,
251423,392.0,412.0,,
251440,376.0,418.0,,
251500,269.0,213.0,,
251560,92.0,48.0,,
251620,43.0,39.0,,
251680,47.0,41.0,,
251740,48.0,38.0,,
251800,51.0,38.0,,
251860,20.0,17.0,,
251919,37.0,25.0,,
251980,49.0,19.0,,
252070,30.0,26.0,,
252130,26.0,35.0,,
252190,28.0,42.0,,
252250,78.0,34.0,,
252309,531.0,510.0,,
252370,507.0,575.0,,
252430,511.0,536.0,,
252490,517.0,529.0,,
252550,377.0,454.0,,
253264,17.0,11.0,,
253274,17.0,13.0,,
253300,37.0,18.0,,
253390,18.0,36.0,,
253480,43.0,43.0,,
253540,30.0,18.0,,
253599,353.0,278.0,,
253660,549.0,523.0,,
253720,478.0,497.0,,
253780,523.0,543.0,,
253870,505.0,520.0,,
253930,416.0,447.0,,
254020,413.0,444.0,,
254110,331.0,215.0,,
254170,170.0,86.0,,
254273,29.0,30.0,,
254350,58.0,48.0,,
254410,20.0,23.0,,
254470,34.0,31.0,,
254573,64.0,26.0,,
254620,57.0,36.0,,
254680,32.0,41.0,,
254740,63.0,79.0,,
254800,29.0,20.0,,
254889,471.0,412.0,,
254950,416.0,423.0,,
255010,444.0,496.0,,
255070,441.0,445.0,,
255160,463.0,476.0,,
255220,427.0,475.0,,
255280,411.0,426.0,,
255383,283.0,297.0,,
255400,261.0,278.0,,
255460,62.0,85.0,,
255520,66.0,69.0,,
255580,56.0,66.0,,
255640,64.0,67.0,,
255700,9.0,20.0,,
255760,31.0,14.0,,
255820,16.0,13.0,,
255880,89.0,38.0,,
255940,34.0,35.0,,
256000,27.0,30.0,,
256060,33.0,35.0,,
256150,82.0,64.0,,
256240,437.0,448.0,,
256745,21.0,25.0,,
256755,23.0,24.0,,
256780,22.0,29.0,,
256840,19.0,24.0,,
256930,100.0,62.0,,
256990,11.0,9.0,,
257080,70.0,23.0,,
257140,105.0,32.0,,
257200,34.0,34.0,,
257291,31.0,44.0,,
257350,29.0,46.0,,
257410,16.0,29.0,,
257513,515.0,429.0,,
257530,454.0,422.0,,
257590,546.0,463.0,,
257650,449.0,354.0,,
257710,517.0,409.0,,
257770,424.0,379.0,,
257860,364.0,386.0,,
257920,274.0,247.0,,
257980,183.0,177.0,,
258041,31.0,23.0,,
258130,25.0,21.0,,
258190,64.0,42.0,,
258293,62.0,17.0,,
258310,81.0,26.0,,
258371,49.0,12.0,,
258430,45.0,15.0,,
258490,20.0,15.0,,
258550,18.0,16.0,,
258610,26.0,18.0,,
258670,27.0,15.0,,
258760,438.0,459.0,,
258850,387.0,375.0,,
258940,404.0,441.0,,
259030,428.0,462.0,,
259090,224.0,258.0,,
259180,105.0,89.0,,
259240,20.0,33.0,,
259300,19.0,23.0,,
259390,29.0,33.0,,
259450,53.0,48.0,,
259510,7.0,16.0,,
259570,9.0,12.0,,
259630,16.0,32.0,,
259690,18.0,21.0,,
260195,532.0,509.0,,
260205,554.0,584.0,,
260230,470.0,540.0,,
260291,415.0,431.0,,
260350,319.0,346.0,,
260411,250.0,300.0,,
260470,115.0,163.0,,
260560,20.0,25.0,,
260621,16.0,20.0,,
260680,53.0,31.0,,
260740,23.0,21.0,,
260800,69.0,14.0,,
260860,45.0,15.0,,
260951,52.0,19.0,,
261010,18.0,23.0,,
261070,20.0,20.0,,
261130,33.0,31.0,,
261190,161.0,106.0,,
261250,512.0,509.0,,
261310,420.0,420.0,,
261371,406.0,391.0,,
261430,416.0,390.0,,
261491,344.0,352.0,,
261581,351.0,305.0,,
261640,316.0,193.0,,
261701,238.0,152.0,,
261760,39.0,58.0,,
261820,26.0,24.0,,
261880,35.0,30.0,,
261940,33.0,47.0,,
262000,60.0,50.0,,
262060,11.0,8.0,,
262121,27.0,17.0,,
262210,17.0,10.0,,
262270,12.0,12.0,,
262331,16.0,15.0,,
262390,17.0,16.0,,
262451,19.0,17.0,,
262541,502.0,507.0,,
262600,452.0,462.0,,
262661,467.0,471.0,,
262720,511.0,560.0,,
262781,448.0,488.0,,
262840,401.0,446.0,,
262900,286.0,341.0,,
262959,303.0,201.0,,
263465,59.0,24.0,,
263475,66.0,27.0,,
263500,59.0,26.0,,
263560,26.0,22.0,,
263621,29.0,26.0,,
263710,27.0,24.0,,
263770,303.0,313.0,,
263831,552.0,606.0,,
263890,563.0,622.0,,
263951,532.0,591.0,,
264010,472.0,523.0,,
264071,402.0,435.0,,
264130,394.0,441.0,,
264190,440.0,489.0,,
264250,383.0,429.0,,
264340,108.0,132.0,,
264400,33.0,56.0,,
264491,75.0,67.0,,
264550,52.0,44.0,,
264611,47.0,20.0,,
264701,27.0,20.0,,
264760,68.0,31.0,,
264821,25.0,40.0,,
264880,26.0,29.0,,
264940,38.0,29.0,,
265000,189.0,192.0,,
265060,489.0,527.0,,
265121,387.0,421.0,,
265180,451.0,497.0,,
265241,416.0,449.0,,
265300,432.0,497.0,,
265361,374.0,430.0,,
265420,429.0,474.0,,
265480,297.0,336.0,,
265541,358.0,374.0,,
265600,48.0,45.0,,
265661,21.0,38.0,,
265720,65.0,80.0,,
265781,70.0,54.0,,
265840,14.0,18.0,,
265930,43.0,21.0,,
266020,20.0,10.0,,
266080,13.0,12.0,,
266140,21.0,17.0,,
266201,32.0,18.0,,
266260,33.0,14.0,,
266975,79.0,63.0,,
266985,77.0,55.0,,
267010,71.0,54.0,,
267071,90.0,47.0,,
267130,14.0,13.0,,
267220,35.0,19.0,,
267281,39.0,14.0,,
267371,25.0,20.0,,
267430,24.0,16.0,,
267491,40.0,21.0,,
267550,31.0,17.0,,
267611,490.0,487.0,,
267701,455.0,462.0,,
267760,379.0,418.0,,
267821,419.0,452.0,,
267880,468.0,498.0,,
267941,425.0,383.0,,
268000,331.0,377.0,,
268060,227.0,205.0,,
268121,28.0,26.0,,
268180,66.0,47.0,,
268241,34.0,50.0,,
268300,39.0,56.0,,
268361,55.0,45.0,,
268420,42.0,11.0,,
268481,13.0,12.0,,
268541,24.0,12.0,,
268630,13.0,11.0,,
268691,25.0,15.0,,
268750,27.0,13.0,,
268810,324.0,85.0,,
268871,409.0,394.0,,
268930,407.0,403.0,,
268991,453.0,413.0,,
269050,442.0,431.0,,
269106,,,154.0,220.0
269111,430.0,433.0,,
269130,,,145.0,235.0
269140,,,173.0,225.0
269150,,,189.0,215.0
269160,,,185.0,247.0
269170,,,137.0,150.0
269180,,,189.0,211.0
269190,,,101.0,195.0
269200,362.0,331.0,162.0,256.0
269210,,,68.0,260.0
269220,,,121.0,187.0
269230,,,72.0,252.0
269240,,,187.0,229.0
269250,,,182.0,260.0
269260,183.0,102.0,185.0,244.0
269270,,,170.0,232.0
269280,,,110.0,196.0
269290,,,146.0,261.0
269300,,,140.0,231.0
269310,,,133.0,218.0
269320,,,185.0,174.0
269321,138.0,38.0,,
269330,,,194.0,259.0
269340,,,124.0,247.0
269350,,,279.0,334.0
269360,,,264.0,284.0
269370,,,275.0,290.0
269380,31.0,17.0,210.0,270.0
269390,,,172.0,215.0
269400,,,179.0,227.0
269410,,,192.0,239.0
269420,,,198.0,280.0
269430,,,243.0,243.0
269440,,,220.0,231.0
269441,51.0,23.0,,
269450,,,232.0,253.0
269460,,,218.0,254.0
269470,,,246.0,281.0
269480,,,245.0,287.0
269490,,,266.0,287.0
269500,63.0,30.0,267.0,273.0
269510,,,256.0,257.0
269520,,,245.0,236.0
269530,,,234.0,209.0
269540,,,221.0,178.0
269550,,,229.0,173.0
269560,54.0,31.0,252.0,220.0
269570,,,244.0,205.0
269580,,,256.0,197.0
269621,24.0,14.0,,
269680,53.0,11.0,,
269741,13.0,7.0,,
269818,,,603.0,731.0
269828,,,547.0,725.0
269838,,,604.0,727.0
269848,,,543.0,731.0
269858,,,573.0,695.0
269868,,,572.0,716.0
269878,,,527.0,734.0
269888,,,595.0,719.0
269898,,,608.0,722.0
269908,,,566.0,689.0
269918,,,562.0,720.0
269928,,,588.0,704.0
269938,,,580.0,704.0
269948,,,566.0,702.0
269958,,,558.0,688.0
269968,,,451.0,693.0
269978,,,533.0,669.0
269988,,,487.0,663.0
269998,,,439.0,618.0
270008,,,424.0,614.0
270018,,,395.0,613.0
270028,,,384.0,597.0
270038,,,371.0,544.0
270048,,,340.0,510.0
270058,,,279.0,457.0
270068,,,219.0,408.0
270078,,,196.0,388.0
270088,,,112.0,328.0
270098,,,84.0,249.0
270108,,,85.0,249.0
270118,,,131.0,260.0
270128,,,113.0,244.0
270138,,,140.0,273.0
270148,,,123.0,246.0
270158,,,92.0,180.0
270168,,,92.0,172.0
270178,,,123.0,224.0
270188,,,107.0,218.0
270198,,,98.0,230.0
270208,,,110.0,228.0
270218,,,151.0,223.0
270228,,,151.0,218.0
270238,,,156.0,208.0
270246,401.0,318.0,,
270248,,,154.0,236.0
270256,450.0,351.0,,
270258,,,80.0,253.0
270268,,,137.0,246.0
270281,408.0,370.0,,
270340,483.0,514.0,,
270401,401.0,440.0,,
270491,414.0,393.0,,
270508,,,263.0,281.0
270518,,,259.0,289.0
270528,,,249.0,275.0
270574,,,253.0,283.0
270581,251.0,255.0,,
270640,112.0,25.0,,
270664,,,242.0,292.0
270701,17.0,23.0,,
270724,,,199.0,239.0
270760,22.0,27.0,,
270784,,,286.0,246.0
270821,53.0,62.0,,
270843,,,295.0,257.0
270904,,,410.0,478.0
270911,11.0,11.0,,
270963,,,611.0,729.0
271000,20.0,11.0,,
271024,,,613.0,730.0
271061,35.0,11.0,,
271083,,,611.0,729.0
271121,32.0,11.0,,
271144,,,514.0,623.0
271180,18.0,19.0,,
271204,,,453.0,587.0
271241,15.0,16.0,,
271264,,,287.0,435.0
271300,17.0,19.0,,
271324,,,139.0,226.0
271361,28.0,13.0,,
271414,,,103.0,158.0
271420,525.0,481.0,,
271474,,,142.0,244.0
271481,359.0,292.0,,
271534,,,174.0,218.0
271541,516.0,591.0,,
271593,,,163.0,195.0
271601,465.0,502.0,,
271654,,,69.0,300.0
271661,566.0,503.0,,
271713,,,254.0,288.0
271720,511.0,464.0,,
271804,,,250.0,306.0
271824,458.0,481.0,,
271840,407.0,372.0,,
271864,,,112.0,262.0
271901,196.0,168.0,,
271923,,,252.0,264.0
271960,40.0,45.0,,
272014,,,264.0,219.0
272021,37.0,20.0,,
272074,,,141.0,331.0
272081,55.0,28.0,,
272133,,,600.0,718.0
272141,52.0,43.0,,
272194,,,586.0,697.0
272201,31.0,18.0,,
272253,,,589.0,726.0
272260,34.0,15.0,,
272314,,,546.0,657.0
272320,36.0,12.0,,
272374,,,469.0,600.0
272380,45.0,11.0,,
272434,,,190.0,349.0
272441,21.0,15.0,,
272494,,,118.0,164.0
272500,17.0,17.0,,
272554,,,139.0,175.0
272561,20.0,17.0,,
272614,,,125.0,208.0
272621,36.0,11.0,,
272673,,,192.0,282.0
272680,452.0,123.0,,
272734,,,198.0,216.0
272741,497.0,135.0,,
272793,,,224.0,237.0
272831,460.0,489.0,,
272854,,,172.0,207.0
272891,430.0,487.0,,
272914,,,249.0,266.0
272951,437.0,487.0,,
272974,,,238.0,253.0
273034,,,250.0,282.0
273041,428.0,400.0,,
273094,,,204.0,202.0
273154,,,236.0,218.0
273213,,,255.0,252.0
273545,32.0,10.0,,
273555,29.0,8.0,,
273581,34.0,11.0,,
273641,66.0,15.0,,
273701,31.0,18.0,,
273760,21.0,14.0,,
273821,30.0,13.0,,
273880,264.0,111.0,,
273928,,,169.0,242.0
273938,,,172.0,243.0
273941,389.0,480.0,,
273963,,,196.0,249.0
274000,441.0,480.0,,
274024,,,253.0,275.0
274061,472.0,514.0,,
274083,,,237.0,284.0
274121,515.0,576.0,,
274144,,,191.0,225.0
274181,386.0,306.0,,
274204,,,132.0,222.0
274241,416.0,330.0,,
274264,,,222.0,240.0
274300,451.0,503.0,,
274324,,,229.0,288.0
274361,329.0,321.0,,
274384,,,234.0,285.0
274419,103.0,61.0,,
274444,,,156.0,187.0
274503,,,205.0,199.0
274510,22.0,28.0,,
274571,32.0,21.0,,
274594,,,228.0,220.0
274630,46.0,34.0,,
274654,,,207.0,205.0
274691,17.0,15.0,,
274713,,,600.0,697.0
274750,46.0,32.0,,
274774,,,615.0,729.0
274833,,,599.0,724.0
274840,31.0,13.0,,
274894,,,600.0,724.0
274901,21.0,14.0,,
274954,,,534.0,728.0
274991,18.0,15.0,,
275014,,,585.0,706.0
275050,27.0,14.0,,
275074,,,560.0,687.0
275111,419.0,94.0,,
275134,,,502.0,672.0
275194,,,434.0,615.0
275213,489.0,403.0,,
275231,349.0,386.0,,
275253,,,230.0,416.0
275314,,,194.0,207.0
275321,437.0,461.0,,
275374,,,182.0,293.0
275380,327.0,348.0,,
275434,,,190.0,276.0
275440,398.0,411.0,,
275494,,,226.0,271.0
275500,302.0,347.0,,
275554,,,198.0,402.0
275561,296.0,201.0,,
275614,,,266.0,334.0
275621,90.0,32.0,,
275704,,,305.0,357.0
275710,26.0,16.0,,
275764,,,197.0,280.0
275771,34.0,17.0,,
275824,,,281.0,326.0
275831,31.0,20.0,,
275884,,,231.0,351.0
275891,23.0,27.0,,
275944,,,263.0,294.0
275981,44.0,14.0,,
276003,,,557.0,656.0
276041,22.0,9.0,,
276064,,,612.0,731.0
276101,41.0,11.0,,
276124,,,612.0,726.0
276184,,,590.0,734.0
276191,18.0,14.0,,
276244,,,577.0,708.0
276250,20.0,13.0,,
276304,,,489.0,696.0
276311,27.0,12.0,,
276364,,,503.0,642.0
